X,Y,Z
-3.143062158,-1.623226259,-71.299
-2.795888,-1.620297,-71.299
-2.588811,-1.53942,-71.299
-2.478405,-1.46112,-71.299
-2.295006,-1.373412,-71.299
-2.168727,-1.339576,-71.299
-1.941119,-1.328182,-71.299
-1.766863,-1.348706,-71.299
-1.566119,-1.428662,-71.299
-1.425471,-1.533565,-71.299
-1.338733,-1.63138,-71.299
-1.226685,-1.800554,-71.299
-1.164016,-1.923504,-71.299
-1.119302,-2.046354,-71.299
-1.096601,-2.175101,-71.299
-1.105141,-2.403162,-71.299
-1.138977,-2.529441,-71.299
-1.194228,-2.647926,-71.299
-1.269213,-2.755016,-71.299
-1.394113,-2.879916,-71.299
-1.501204,-2.954902,-71.299
-1.684604,-3.04261,-71.299
-1.85537,-3.082922,-71.299
-2.334339,-3.087513,-71.299
-2.569431,-3.147837,-71.299
-2.700116,-3.151407,-71.299
-2.87371,-3.120297,-71.299
-3.109583,-3.120297,-71.299
-3.222656,-3.101953,-71.299
-3.457031,-3.001186,-71.299
-3.534459,-2.947656,-71.299
-3.768562007,-2.725008173,-71.299
-3.814352,-2.626813,-71.299
-3.848188,-2.500534,-71.299
-3.856852359,-2.40150635,-71.299
-3.777856,-2.244531,-71.299
-3.691406,-2.162134,-71.299
-3.457031,-2.013014,-71.299
-3.213155,-1.775781,-71.299
-3.143062158,-1.623226259,-71.299
-5.063118,-3.59422,-70.999
-4.565041,-4.092904,-70.999
-4.463118,-4.09422,-70.999
-4.365041,-4.192297,-70.999
-4.163256,-4.19422,-70.999
-4.065041,-4.292435,-70.999
-3.691406,-4.296045,-70.999
-3.457031,-4.31875,-70.999
-3.222656,-4.276492,-70.999
-2.988281,-4.184886,-70.999
-2.753906,-4.13418,-70.999
-2.443704,-4.119531,-70.999
-2.050781,-4.021875,-70.999
-1.816406,-3.992712,-70.999
-1.582031,-3.953794,-70.999
-1.40408,-3.885156,-70.999
-1.113281,-3.750254,-70.999
-0.8789063,-3.619072,-70.999
-0.6445313,-3.497748,-70.999
-0.538161,-3.416406,-70.999
-0.4101563,-3.286401,-70.999
-0.3245192,-3.182031,-70.999
-0.2383883,-2.947656,-70.999
-0.193201,-2.713281,-70.999
-0.1301398,-2.478906,-70.999
-0.123291,-2.244531,-70.999
-0.1413893,-2.010156,-70.999
-0.2316707,-1.775781,-70.999
-0.3099301,-1.541406,-70.999
-0.4921875,-1.307031,-70.999
-0.446936506,-1.213991838,-70.999
-0.614094,-1.127157,-70.999
-0.8650414,-0.8955023,-70.999
-0.966512,-0.8942203,-70.999
-1.065041,-0.7956908,-70.999
-1.170041,-0.7942203,-70.999
-1.265041,-0.6992202,-70.999
-1.568375,-0.6942203,-70.999
-1.665042,-0.5975535,-70.999
-2.565042,-0.5949894,-70.999
-2.844443303,-0.597169808,-70.999
-2.934057,-0.7169775,-70.999
-3.037727,-0.7872885,-70.999
-3.215678,-0.8879908,-70.999
-3.292759,-0.9092661,-70.999
-3.45846,-1.072656,-70.999
-3.691406,-1.335848,-70.999
-3.863174,-1.541406,-70.999
-4.046094,-1.775781,-70.999
-4.160156,-1.907392,-70.999
-4.380834,-2.244531,-70.999
-4.412761,-2.478906,-70.999
-4.315962,-2.713281,-70.999
-4.117914,-2.947656,-70.999
-4.160156,-3.038477,-70.999
-4.394531,-3.118723,-70.999
-4.775391,-3.182031,-70.999
-4.863281,-3.210383,-70.999
-5.104827935,-3.350862065,-70.999
-5.065041,-3.390649,-70.999
-5.063118,-3.59422,-70.999
0.4865965310597867,-0.462819613,-70.699
0.05859375,-0.571946,-70.699
-0.07964823,-0.6651932,-70.699
-0.1577815,-0.7583087,-70.699
-0.1993553,-0.8725319,-70.699
-0.2046726,-0.9786245,-70.699
-0.183565,-1.098332,-70.699
-0.1227881,-1.2036,-70.699
-0.02967256,-1.281733,-70.699
0.1005026,-1.324703,-70.699
0.1917614,-1.541406,-70.699
0.3366477,-1.775781,-70.699
0.355535,-2.010156,-70.699
0.3575212,-2.478906,-70.699
0.3442383,-2.713281,-70.699
0.207648,-2.947656,-70.699
0.1652238,-3.182031,-70.699
0.02858232,-3.416406,-70.699
-0.2057927,-3.650781,-70.699
-0.4101563,-3.845639,-70.699
-0.6445313,-3.987695,-70.699
-0.8789063,-4.201672,-70.699
-1.113281,-4.369627,-70.699
-1.347656,-4.473284,-70.699
-1.582031,-4.509007,-70.699
-1.816406,-4.43839,-70.699
-2.050781,-4.356765,-70.699
-2.285156,-4.325301,-70.699
-2.519531,-4.30593,-70.699
-2.753906,-4.268143,-70.699
-2.988281,-4.246334,-70.699
-3.222656,-4.286645,-70.699
-3.457031,-4.300314,-70.699
-3.691406,-4.258841,-70.699
-3.925781,-4.285258,-70.699
-4.160156,-4.403819,-70.699
-4.394531,-4.474023,-70.699
-4.628906,-4.553465,-70.699
-4.863281,-4.53318,-70.699
-5.097656,-4.483065,-70.699
-5.332031,-4.394501,-70.699
-5.690918,-4.119531,-70.699
-5.845472,-3.885156,-70.699
-5.895774,-3.650781,-70.699
-5.869306,-3.416406,-70.699
-5.800781,-3.323465,-70.699
-5.668473,-3.182031,-70.699
-5.566406,-3.089874,-70.699
-5.332031,-2.908257,-70.699
-5.097656,-2.864576,-70.699
-4.863281,-2.809464,-70.699
-4.761328,-2.713281,-70.699
-4.784007,-2.478906,-70.699
-4.750033,-2.244531,-70.699
-4.671805,-2.010156,-70.699
-4.497311,-1.775781,-70.699
-4.394531,-1.615024,-70.699
-4.332787,-1.541406,-70.699
-4.09992,-1.307031,-70.699
-3.972886,-1.072656,-70.699
-3.925781,-1.026897,-70.699
-3.691406,-0.8934946,-70.699
-3.652375,-0.8528085,-70.699
-3.473521,-0.8317009,-70.699
-3.368252,-0.770924,-70.699
-3.290119,-0.6778084,-70.699
-3.248545,-0.5635853,-70.699
-3.264335,-0.3831014,-70.699
-3.325112,-0.2778328,-70.699
-3.417091,-0.2004954,-70.699
-3.329504,-0.1351563,-70.699
-3.457031,-0.04606164,-70.699
-3.925781,0.1869493,-70.699
-4.160156,0.2238467,-70.699
-4.394531,0.2710458,-70.699
-4.544573836, 0.3405963443271972,-70.699
-3.875716,0.499493,-70.699
-3.62237,0.5441389,-70.699
-3.499477,0.5754066,-70.699
-3.337191,0.5263173,-70.699
-2.973223,0.460213,-70.699
-2.886894,0.4555325,-70.699
-2.556739,0.3988345,-70.699
-2.329977,0.3132775,-70.699
-2.133746,0.2789042,-70.699
-1.778202,0.1834482,-70.699
-1.531816,0.1335479,-70.699
-1.254808,0.1279595,-70.699
-1.142328,0.1010906,-70.699
-0.8320064,0.09529763,-70.699
-0.7203831,0.06863328,-70.699
-0.2113679,0.06052055,-70.699
0.014557980000000002,-0.06815246,-70.699
0.21207769999999998,-0.2495584,-70.699
0.4865965310597867,-0.462819613,-70.699
-3.672706,-0.1351563,-70.399
-3.909745,-0.2369897,-70.399
-3.856567,-0.3051505,-70.399
-3.814993,-0.4193737,-70.399
-3.814993,-0.5409274,-70.399
-3.856567,-0.6551505,-70.399
-3.9347,-0.7482661,-70.399
-4.093675,-0.8382813,-70.399
-4.394531,-1.133854,-70.399
-4.628906,-1.428214,-70.399
-4.736013,-1.541406,-70.399
-4.885326,-1.775781,-70.399
-4.992956,-2.010156,-70.399
-5.132496,-2.244531,-70.399
-5.150337,-2.478906,-70.399
-5.332031,-2.632431,-70.399
-5.536535,-2.713281,-70.399
-5.800781,-2.854507,-70.399
-5.898089,-2.947656,-70.399
-6.100822,-3.182031,-70.399
-6.169739,-3.416406,-70.399
-6.175253,-3.650781,-70.399
-6.115385,-3.885156,-70.399
-5.953213,-4.119531,-70.399
-5.800781,-4.256514,-70.399
-5.566406,-4.389063,-70.399
-5.332031,-4.442946,-70.399
-5.097656,-4.477739,-70.399
-4.863281,-4.49006,-70.399
-4.628906,-4.475504,-70.399
-4.394531,-4.444188,-70.399
-4.160156,-4.370158,-70.399
-3.925781,-4.26524,-70.399
-3.691406,-4.24569,-70.399
-3.457031,-4.289555,-70.399
-2.988281,-4.300103,-70.399
-2.763158,-4.353906,-70.399
-2.519531,-4.423568,-70.399
-2.285156,-4.458141,-70.399
-2.050781,-4.512946,-70.399
-1.950768,-4.588281,-70.399
-1.816406,-4.711979,-70.399
-1.582031,-4.841998,-70.399
-1.347656,-4.91227,-70.399
-1.113281,-4.869314,-70.399
-0.8789063,-4.67071,-70.399
-0.7456656,-4.588281,-70.399
-0.4101563,-4.308333,-70.399
-0.1757813,-4.169922,-70.399
-0.1204069,-4.119531,-70.399
0.08175873,-3.885156,-70.399
0.24047849999999998,-3.650781,-70.399
