X,Y,Z
-2.536148, 5.582603000000001,-58.309
-3.367332, 5.578504000000001,-58.309
-3.504529,5.586373,-58.309
-3.709456,5.628308,-58.309
-4.033987,5.724081,-58.309
-4.165922,5.781271,-58.309
-4.406585,5.922295,-58.309
-4.57793,6.042273,-58.309
-5.021157,6.479042,-58.309
-5.155611,6.639278,-58.309
-5.370011, 7.003449999999999,-58.309
-5.441553,7.200009,-58.309
-5.477875,7.406005,-58.309
-5.482442, 7.803427000000001,-58.309
-5.464211, 8.011804999999999,-58.309
-5.404948,8.260427,-58.309
-5.341783, 8.438621999999999,-58.309
-5.240258,8.621505,-58.309
-5.108517,8.783981,-58.309
-4.83416, 9.052119999999999,-58.309
-4.53148,9.262267,-58.309
-4.350331,9.366853,-58.309
-4.153772,9.438395,-58.309
-3.947776,9.474718,-58.309
-3.44054,9.479284,-58.309
-3.264517,9.466304,-58.309
-3.061067,9.417704,-58.309
-2.920303,9.370311,-58.309
-2.759334,9.29791,-58.309
-2.559382, 9.161933000000001,-58.309
-2.265056,8.867607,-58.309
-2.145079,8.696262,-58.309
-2.049393, 8.492163999999999,-58.309
-1.962057,8.366823,-58.309
-1.803905,8.054338,-58.309
-1.695759,7.747966,-58.309
-1.673101,7.645761,-58.309
-1.657342, 7.465631999999999,-58.309
-1.579875,7.349641,-58.309
-1.500263, 7.168143000000001,-58.309
-1.45161, 6.976018000000001,-58.309
-1.435244,6.778504,-58.309
-1.45161,6.580991,-58.309
-1.500263,6.388865,-58.309
-1.579875,6.207367,-58.309
-1.688275,6.041449,-58.309
-1.822506,5.895635,-58.309
-1.978906,5.773904,-58.309
-2.153209,5.679576,-58.309
-2.340661, 5.6152239999999995,-58.309
-3.184936,5.460517,-58.009
-3.190705, 5.461679999999999,-58.009
-3.284936,5.477798,-58.009
-3.384936,5.495274,-58.009
-3.484936,5.50778,-58.009
-3.584936,5.520982,-58.009
-3.684936,5.547828,-58.009
-3.709635,5.56168,-58.009
-3.784936,5.594574,-58.009
-3.884936,5.620982,-58.009
-3.984936,5.659008,-58.009
-3.98862,5.66168,-58.009
-4.084936,5.704238,-58.009
-4.184936,5.754071,-58.009
-4.193013,5.76168,-58.009
-4.284936,5.822649,-58.009
-4.348686,5.86168,-58.009
-4.384936,5.887118,-58.009
-4.480801, 5.961679999999999,-58.009
-4.484936,5.965815,-58.009
-4.584936,6.044472,-58.009
-4.602486,6.06168,-58.009
-4.684936,6.141488,-58.009
-4.705128,6.16168,-58.009
-4.784936,6.25459,-58.009
